koer,kohtunik,grade,predicted
Apollo Bernteam,Dubravka Reicher,4.0,1
Apollo Bernteam,Giuliano Biasiolo,13.0,1
Apollo Bernteam,Anna Kochan,13.0,1
Apollo Bernteam,Oleg Yanchev,13.0,1
Apollo Bernteam,Ludmila Krakovskaya,13.0,1
Apollo Bernteam,Vladimir Piskay,4.0,1
Apollo Bernteam,Petrus Roosenboom,4.0,1
Apollo Bernteam,Guenther Ehrenreich,4.0,1
Apollo Bernteam,Andi Hudono,13.0,1
Apollo Bernteam,Andrzej Stepinski,13.0,1
Apollo Bernteam,Jari Laakso,4.0,1
Apollo Bernteam,Paul Lawless,4.0,1
Apollo Bernteam,Uschi Eisner,4.0,1
Apollo Bernteam,Norman Deschuymere,13.0,1
Apollo Bernteam,John Muldoon,13.0,1
Apollo Bernteam,Maite Gonzalbo Lorenzo,4.0,1
Apollo Bernteam,Sunde Marit,4.0,1
Apollo Bernteam,Per Kristian Andersen,13.0,1
Apollo Bernteam,Astrid Lundava,13.0,1
Apollo Bernteam,Christian Jouanchicot,13.0,1
Apollo Bernteam,Dick Baars,4.0,1
Apollo Bernteam,John Williams,4.0,1
Apollo Bernteam,Zoltan Baffia,4.0,1
Apollo Bernteam,Antoan Hlebarov,13.0,1
Apollo Bernteam,Maija Heinilä,13.0,1
Apollo Bernteam,Hans Bierwolf,13.0,1
Apollo Bernteam,Michael Leonard,4.0,1
Apollo Bernteam,Calin Simu,4.0,1
Apollo Bernteam,Massimiliano Mannucci,13.0,1
Apollo Bernteam,Anthony Kelly,13.0,1
Apollo Bernteam,Igor Vyguzov,13.0,1
Apollo Bernteam,Vera Smirnova,13.0,1
Apollo Bernteam,Dirk Spruyt,4.0,1
Apollo Bernteam,Olga Sinko Kuprianova,4.0,1
Apollo Bernteam,Dagmar Klein,13.0,1
Apollo Bernteam,Denis Dudko,4.0,1
Apollo Bernteam,Wera Hübenthal,13.0,1
Apollo Bernteam,Viachaslav Viarbitski,4.0,1
Apollo Bernteam,Aleksandr Soroko,13.0,1
Apollo Bernteam,Willi Güllix,4.0,1
Apollo Bernteam,George Schogol,13.0,1
Apollo Bernteam,Carsten Birk,4.0,1
